,model,forecast_date,target,target_end_date,state,actual,quantile_0.025,quantile_0.975
277,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Ohio,918,792,1068
278,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Oklahoma,165,145,190
279,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Florida,1988,1612,2587
280,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Georgia,1098,987,1270
281,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Hawaii,17,11,33
282,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Idaho,58,47,85
283,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Illinois,3657,2557,4487
284,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Indiana,1030,832,1188
285,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Iowa,139,113,188
286,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Oregon,121,95,164
287,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Pennsylvania,3245,2567,4044
288,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Rhode Island,132,66,287
289,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,South Carolina,269,221,342
290,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,South Dakota,203,97,306
291,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Tennessee,347,257,460
292,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Texas,1100,960,1424
293,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Utah,124,68,183
294,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Vermont,48,42,66
295,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Virginia,642,518,820
296,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Washington,1026,952,1345
297,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,West Virginia,19,19,30
298,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Wisconsin,347,279,438
299,CU 30% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Wyoming,1,1,8
300,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Kansas,139,106,177
301,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Kentucky,186,167,249
302,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Louisiana,2229,1837,2552
303,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Maine,41,35,79
304,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Maryland,2128,1669,2700
305,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Massachusetts,6820,5185,8936
306,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Michigan,3899,3225,4862
307,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Minnesota,290,219,425
308,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Mississippi,179,156,218
309,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Missouri,555,367,751
310,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Montana,13,11,33
311,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Nebraska,15,6,27
312,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Nevada,253,202,414
313,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,New Hampshire,165,117,247
314,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Alabama,261,208,336
315,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Alaska,15,15,18
316,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Arizona,392,274,549
317,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Arkansas,70,48,98
318,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,California,3748,3143,5693
319,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Colorado,805,654,948
320,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Connecticut,3550,2649,4346
321,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Delaware,619,452,939
322,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Florida,2544,2059,3429
323,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Georgia,1188,1048,1404
324,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Hawaii,17,12,37
325,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Idaho,59,48,95
326,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Illinois,4737,3127,5965
327,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Indiana,1173,925,1395
328,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Iowa,159,121,220
329,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Oregon,137,100,200
330,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Pennsylvania,4188,3264,5530
331,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Rhode Island,163,73,390
332,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,South Carolina,325,251,419
333,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,South Dakota,344,147,517
334,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Tennessee,407,292,579
335,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Texas,1266,1088,1667
336,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Utah,164,89,259
337,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Vermont,49,43,69
338,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Virginia,867,669,1127
339,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Washington,1231,1072,1723
340,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,West Virginia,19,19,30
341,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Wisconsin,384,304,499
342,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Wyoming,1,1,8
343,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,New Jersey,11042,8968,13906
344,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,New Mexico,107,84,154
345,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,New York,30269,24540,37332
346,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,North Carolina,279,233,381
347,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Ohio,1164,994,1432
348,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,North Dakota,9,9,15
349,CU 30% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Oklahoma,170,145,205
350,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Kansas,143,106,189
351,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Louisiana,2302,1863,2688
352,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Kentucky,190,173,274
353,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Maine,43,35,82
354,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Maryland,2539,1934,3268
355,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Massachusetts,8189,6211,11105
356,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Michigan,4000,3306,5108
357,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Alabama,275,216,364
358,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Alaska,15,15,20
359,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Arizona,431,293,632
360,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Arkansas,73,50,100
361,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,California,4499,3652,7170
362,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Colorado,862,679,1035
363,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Connecticut,3970,2872,5075
364,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Delaware,829,546,1299
365,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Florida,3036,2392,4307
366,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Georgia,1229,1066,1513
367,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Hawaii,17,12,37
368,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Idaho,59,48,98
369,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Illinois,5693,3493,7161
370,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Indiana,1278,972,1595
371,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Iowa,167,125,230
372,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Oregon,149,103,221
373,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Pennsylvania,5003,3857,6810
374,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Rhode Island,179,79,472
375,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,South Carolina,375,273,509
376,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,South Dakota,478,194,706
377,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Tennessee,452,305,663
378,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Texas,1395,1182,1927
379,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Utah,196,97,325
380,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Vermont,49,43,69
381,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Virginia,1060,780,1379
382,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Washington,1415,1170,2007
383,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,West Virginia,19,19,30
384,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Wisconsin,406,320,544
385,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Wyoming,1,1,8
386,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Minnesota,366,256,550
387,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Mississippi,180,157,226
388,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Missouri,596,386,855
389,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Montana,13,11,34
390,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Nebraska,15,6,30
391,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Nevada,263,209,465
392,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,New Hampshire,193,135,299
393,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,New Jersey,12071,9613,15809
394,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,New Mexico,111,86,173
395,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,New York,33800,26914,42435
396,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,North Carolina,291,238,397
397,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,North Dakota,9,9,15
398,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Ohio,1442,1185,1831
399,CU 30% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Oklahoma,171,145,210
400,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Alabama,184,157,226
401,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Alaska,15,15,18
402,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Arizona,265,222,325
403,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Arkansas,50,42,62
404,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,California,2012,1792,2520
405,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Colorado,585,525,650
406,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Connecticut,2153,1748,2483
407,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Delaware,232,175,306
408,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Florida,1419,1162,1715
409,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Georgia,927,843,1026
410,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Hawaii,14,10,24
411,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Idaho,54,47,71
412,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Illinois,2426,1836,2808
413,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Indiana,815,703,894
414,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Iowa,103,88,131
415,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Kansas,113,98,130
416,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Kentucky,165,154,183
417,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Louisiana,1832,1604,1983
418,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Maine,37,33,51
419,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Maryland,1036,892,1227
420,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Massachusetts,3305,2683,3899
421,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Michigan,3191,2809,3644
422,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Minnesota,148,131,170
423,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Mississippi,163,155,181
424,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Missouri,347,267,430
425,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Montana,12,11,20
426,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Nebraska,12,6,19
427,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Nevada,214,182,265
428,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,New Hampshire,76,61,111
429,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,New Jersey,7469,6195,8672
430,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,New Mexico,81,65,103
431,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,New York,19217,16444,21285
432,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,North Carolina,219,195,259
433,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,North Dakota,9,9,9
434,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Ohio,664,593,733
435,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Oklahoma,154,140,172
436,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Oregon,98,84,115
437,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Pennsylvania,2137,1747,2531
438,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Rhode Island,83,41,157
439,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,South Carolina,200,170,235
440,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,South Dakota,77,35,126
441,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Tennessee,255,212,311
442,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Texas,855,752,1008
443,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Utah,74,43,108
444,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Vermont,45,41,55
445,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Virginia,396,338,472
446,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Washington,807,764,931
447,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,West Virginia,19,19,25
448,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Wisconsin,284,245,353
449,CU 20% contact reduction,4/20/2020,1 wk ahead cum death,4/25/2020,Wyoming,1,1,5
450,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Alabama,230,192,301
451,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Alaska,15,15,18
452,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Arizona,337,257,458
453,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Montana,12,11,29
454,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Nebraska,14,6,24
455,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Nevada,240,194,345
456,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,New Hampshire,125,91,182
457,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,New Jersey,9650,7748,11514
458,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,New Mexico,98,79,131
459,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,New York,25530,21450,30103
460,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Kansas,129,105,160
461,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Kentucky,179,163,220
462,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Louisiana,2101,1790,2353
463,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Arkansas,63,46,87
464,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,California,2921,2520,4161
465,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Colorado,722,605,813
466,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Connecticut,3000,2266,3533
467,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Delaware,429,313,642
468,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Maine,40,34,69
469,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Maryland,1654,1340,2040
470,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Massachusetts,5144,3962,6584
471,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Michigan,3666,3089,4469
472,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Minnesota,215,173,283
473,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Mississippi,174,155,206
474,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Missouri,476,328,611
475,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,North Carolina,259,222,338
476,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,North Dakota,9,9,10
477,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Ohio,919,790,1076
478,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Oklahoma,165,145,190
479,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Florida,1996,1623,2602
480,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Georgia,1100,986,1268
481,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Hawaii,17,11,33
482,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Idaho,58,47,85
483,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Illinois,3666,2578,4522
484,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Indiana,1035,834,1186
485,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Iowa,138,111,183
486,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Oregon,121,96,166
487,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Pennsylvania,3260,2559,4083
488,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Rhode Island,133,66,288
489,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,South Carolina,271,220,341
490,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,South Dakota,202,96,317
491,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Tennessee,347,256,461
492,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Texas,1103,963,1435
493,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Utah,124,66,179
494,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Vermont,48,42,66
495,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Virginia,644,521,827
496,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Washington,1030,953,1340
497,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,West Virginia,19,19,30
498,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Wisconsin,345,280,438
499,CU 20% contact reduction,4/20/2020,2 wk ahead cum death,5/2/2020,Wyoming,1,1,8
500,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Kansas,139,107,182
501,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Kentucky,188,170,252
502,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Louisiana,2248,1842,2593
503,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Maine,41,35,79
504,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Maryland,2208,1723,2800
505,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Massachusetts,7002,5377,9196
506,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Michigan,3914,3242,4902
507,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Minnesota,301,223,438
508,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Mississippi,179,155,219
509,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Missouri,577,372,790
510,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Montana,13,11,33
511,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Nebraska,15,6,27
512,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Nevada,257,205,416
513,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,New Hampshire,168,120,245
514,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Alabama,262,210,343
515,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Alaska,15,15,20
516,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Arizona,403,279,565
517,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Arkansas,71,49,97
518,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,California,3961,3306,6193
519,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Colorado,815,656,963
520,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Connecticut,3618,2666,4463
521,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Delaware,654,467,1015
522,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Florida,2703,2158,3710
523,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Georgia,1193,1048,1404
524,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Hawaii,17,12,37
525,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Idaho,59,49,95
526,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Illinois,4843,3144,6044
527,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Indiana,1198,939,1445
528,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Iowa,159,121,217
529,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Oregon,139,99,201
530,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Pennsylvania,4383,3423,5857
531,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Rhode Island,164,79,404
532,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,South Carolina,332,252,437
533,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,South Dakota,357,146,530
534,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Tennessee,410,289,590
535,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Texas,1297,1115,1761
536,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Utah,169,85,283
537,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Vermont,49,43,68
538,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Virginia,900,692,1164
539,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Washington,1282,1102,1804
540,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,West Virginia,19,19,30
541,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Wisconsin,391,307,512
542,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Wyoming,1,1,8
543,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,New Jersey,11258,9111,14449
544,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,New Mexico,109,84,153
545,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,New York,31307,25258,38652
546,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,North Carolina,279,233,382
547,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Ohio,1205,1009,1508
548,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,North Dakota,9,9,14
549,CU 20% contact reduction,4/20/2020,3 wk ahead cum death,5/9/2020,Oklahoma,171,145,208
550,CU 20% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Kansas,146,107,195
551,CU 20% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Louisiana,2361,1877,2888
552,CU 20% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Kentucky,195,177,302
553,CU 20% contact reduction,4/20/2020,4 wk ahead cum death,5/16/2020,Maine,42,35,82
