model,forecast_date,target,target_end_date,state,actual,quantile_0.025,quantile_0.975
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,North Carolina,282,125.0,648.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,North Dakota,0,0.0,64.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Ohio,182,69.0,512.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Oklahoma,68,15.0,207.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Florida,1460,715.0,3200.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Georgia,438,182.0,1214.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Hawaii,20,4.0,129.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Idaho,0,0.0,19.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Illinois,1423,646.0,3844.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Indiana,220,97.0,524.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Iowa,58,8.0,285.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Oregon,164,51.0,499.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Pennsylvania,1032,516.0,2136.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Rhode Island,56,26.0,143.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,South Carolina,137,48.0,361.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,South Dakota,39,0.0,458.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Tennessee,294,113.0,646.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Texas,542,285.0,1190.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Utah,83,28.0,243.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Vermont,90,20.0,218.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Virginia,213,63.0,772.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Washington,818,422.0,1948.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,West Virginia,0,0.0,75.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Wisconsin,271,101.0,632.0
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Wyoming,1,0.0,82.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Kansas,60,14.0,464.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Kentucky,161,25.0,868.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Louisiana,704,312.0,1797.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Maine,67,9.0,439.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Maryland,317,108.0,845.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Massachusetts,1667,1126.0,3225.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Michigan,2900,1509.0,6546.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Minnesota,172,37.0,1808.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Mississippi,82,4.0,417.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Missouri,354,175.0,818.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Montana,83,10.0,359.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Nebraska,37,1.0,267.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Nevada,91,31.0,558.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,New Hampshire,140,30.0,936.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Alabama,144,46.0,464.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Alaska,29,0.0,180.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Arizona,572,170.0,1537.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Arkansas,30,1.0,184.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,California,2244,1040.0,5937.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Colorado,659,313.0,1573.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Connecticut,938,426.0,2003.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Delaware,47,6.0,190.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Florida,1844,830.0,4395.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Georgia,575,195.0,1755.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Hawaii,23,4.0,148.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Idaho,0,0.0,24.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Illinois,1755,707.0,5278.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Indiana,338,120.0,873.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Iowa,119,18.0,818.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Oregon,244,64.0,1097.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Pennsylvania,1265,576.0,2639.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Rhode Island,68,29.0,173.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,South Carolina,195,59.0,656.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,South Dakota,92,0.0,1028.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Tennessee,414,149.0,951.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Texas,743,333.0,2108.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Utah,103,36.0,310.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Vermont,149,27.0,448.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Virginia,403,94.0,1729.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Washington,1055,517.0,2711.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,West Virginia,5,0.0,191.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Wisconsin,384,117.0,1069.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Wyoming,3,0.0,208.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,New Jersey,3817,2372.0,6683.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,New Mexico,60,10.0,312.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,New York,19375,12579.0,29340.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,North Carolina,443,177.0,1205.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Ohio,250,79.0,712.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,North Dakota,0,0.0,144.0
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Oklahoma,104,19.0,370.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Kansas,76,21.0,788.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Louisiana,759,318.0,1959.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Kentucky,293,30.0,1644.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Maine,96,16.0,837.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Maryland,344,109.0,954.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Massachusetts,1788,1193.0,3545.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Michigan,3300,1649.0,8050.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Alabama,257,50.0,807.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Alaska,39,0.0,403.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Arizona,801,209.0,2418.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Arkansas,43,1.0,388.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,California,2542,1121.0,7161.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Colorado,779,320.0,2194.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Connecticut,1032,441.0,2259.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Delaware,49,6.0,215.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Florida,2074,895.0,5463.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Georgia,751,211.0,2436.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Hawaii,26,4.0,157.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Idaho,0,0.0,71.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Illinois,1894,789.0,6253.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Indiana,454,135.0,1356.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Iowa,240,32.0,1717.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Oregon,360,69.0,1694.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Pennsylvania,1444,607.0,2837.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Rhode Island,73,30.0,189.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,South Carolina,240,66.0,974.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,South Dakota,167,1.0,1829.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Tennessee,572,176.0,1572.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Texas,974,349.0,3681.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Utah,111,36.0,381.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Vermont,225,33.0,939.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Virginia,696,122.0,2858.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Washington,1532,629.0,3709.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,West Virginia,10,0.0,330.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Wisconsin,558,136.0,1890.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Wyoming,7,0.0,367.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Minnesota,333,55.0,3241.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Mississippi,129,6.0,718.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Missouri,451,185.0,1146.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Montana,163,16.0,697.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Nebraska,62,1.0,444.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Nevada,115,31.0,985.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,New Hampshire,250,41.0,1481.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,New Jersey,4103,2505.0,7137.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,New Mexico,104,11.0,559.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,New York,20468,13145.0,31109.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,North Carolina,665,230.0,2114.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,North Dakota,0,0.0,268.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Ohio,317,106.0,1145.0
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Oklahoma,169,24.0,767.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Alabama,65,29.0,153.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Alaska,16,0.0,47.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Arizona,277,116.0,487.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Arkansas,16,0.0,57.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,California,1556,785.0,3318.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Colorado,416,243.0,807.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Connecticut,602,314.0,1139.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Delaware,31,7.0,109.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Florida,1173,586.0,2387.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Georgia,327,162.0,773.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Hawaii,18,4.0,81.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Idaho,0,0.0,12.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Illinois,1155,554.0,2841.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Indiana,175,84.0,376.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Iowa,29,3.0,126.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Kansas,31,8.0,99.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Kentucky,45,11.0,159.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Louisiana,497,277.0,1205.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Maine,31,8.0,76.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Maryland,209,92.0,531.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Massachusetts,1128,846.0,2051.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Michigan,1788,1077.0,3586.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Minnesota,56,21.0,271.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Mississippi,16,2.0,73.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Missouri,195,108.0,365.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Montana,27,3.0,68.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Nebraska,9,1.0,62.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Nevada,57,26.0,170.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New Hampshire,49,19.0,216.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New Jersey,2586,1729.0,4480.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New Mexico,24,4.0,121.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New York,14055,9964.0,20892.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,North Carolina,190,96.0,405.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,North Dakota,0,0.0,20.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Ohio,151,60.0,401.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Oklahoma,52,14.0,107.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Oregon,111,40.0,267.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Pennsylvania,820,422.0,1694.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Rhode Island,44,21.0,110.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,South Carolina,96,37.0,261.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,South Dakota,15,0.0,188.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Tennessee,218,102.0,455.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Texas,407,234.0,736.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Utah,66,27.0,194.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Vermont,54,17.0,110.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Virginia,117,39.0,339.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Washington,665,357.0,1425.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,West Virginia,0,0.0,23.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Wisconsin,188,81.0,411.0
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Wyoming,1,0.0,38.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Alabama,133,49.0,397.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Alaska,29,0.0,98.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Arizona,541,172.0,1098.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Montana,58,13.0,195.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Nebraska,17,1.0,145.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Nevada,91,31.0,352.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New Hampshire,101,30.0,513.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New Jersey,4301,2542.0,8015.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New Mexico,45,7.0,272.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New York,21501,13514.0,33612.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Kansas,60,20.0,272.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Kentucky,94,20.0,420.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Louisiana,754,365.0,2060.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Arkansas,30,1.0,131.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,California,2359,1115.0,6604.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Colorado,719,350.0,1642.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Connecticut,1066,484.0,2205.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Delaware,53,10.0,216.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Maine,62,13.0,222.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Maryland,356,121.0,976.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Massachusetts,1841,1213.0,3641.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Michigan,3285,1685.0,7668.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Minnesota,119,40.0,797.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Mississippi,47,7.0,221.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Missouri,373,181.0,810.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,North Carolina,395,163.0,997.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,North Dakota,0,0.0,70.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Ohio,240,96.0,726.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Oklahoma,96,22.0,282.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Florida,2055,879.0,4882.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Georgia,575,236.0,1684.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Hawaii,25,4.0,168.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Idaho,0,0.0,25.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Illinois,1928,792.0,6257.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Indiana,303,116.0,807.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Iowa,72,9.0,312.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Oregon,202,59.0,598.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Pennsylvania,1417,634.0,3264.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Rhode Island,83,33.0,195.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,South Carolina,174,73.0,592.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,South Dakota,38,0.0,479.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Tennessee,387,147.0,908.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Texas,757,372.0,1669.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Utah,118,41.0,376.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Vermont,118,29.0,297.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Virginia,262,77.0,919.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Washington,923,485.0,2465.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,West Virginia,1,0.0,75.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Wisconsin,365,129.0,842.0
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Wyoming,4,0.0,82.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Kansas,99,25.0,585.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Kentucky,194,29.0,1025.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Louisiana,1005,420.0,2746.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Maine,101,17.0,504.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Maryland,474,150.0,1392.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Massachusetts,2501,1612.0,5340.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Michigan,4621,1907.0,11419.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Minnesota,243,78.0,2031.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Mississippi,103,19.0,524.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Missouri,555,236.0,1277.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Montana,109,13.0,457.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Nebraska,34,1.0,337.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Nevada,117,37.0,644.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,New Hampshire,197,44.0,1065.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Alabama,228,70.0,812.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Alaska,45,0.0,203.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Arizona,865,253.0,2268.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Arkansas,50,1.0,243.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,California,3253,1361.0,10487.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Colorado,1010,445.0,2801.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Connecticut,1476,615.0,3329.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Delaware,73,12.0,364.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Florida,2963,1137.0,8130.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Georgia,855,313.0,2744.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Hawaii,31,4.0,255.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Idaho,0,0.0,52.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Illinois,2617,988.0,10034.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Indiana,493,167.0,1337.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Iowa,161,22.0,832.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Oregon,358,83.0,1263.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Pennsylvania,1925,800.0,4623.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Rhode Island,116,41.0,269.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,South Carolina,285,101.0,1010.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,South Dakota,109,0.0,1051.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Tennessee,625,194.0,1461.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Texas,1160,491.0,3222.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Utah,165,44.0,579.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Vermont,218,42.0,674.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Virginia,533,138.0,2058.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Washington,1302,561.0,3799.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,West Virginia,8,0.0,252.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Wisconsin,595,157.0,1505.0
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Wyoming,8,0.0,229.0
